# all-reduce: mainarch (raw KFD/AQL, no ROCm) vs RCCL, 8x gfx950 (MI355X)
# generated by bench/compare-allreduce.sh
# busbw convention: algbw * 2*(R-1)/R; lower time is better
#
# READ THIS BEFORE QUOTING THE NUMBERS BELOW.
#
# The rccl_us column here was captured with `all_reduce_perf ... -f 2 -g 8`,
# i.e. ONE host thread driving all 8 GPUs. That configuration serializes RCCL's
# launch path and is NOT RCCL at its best. RCCL's fastest configuration is
# `-t 8 -g 1` (8 threads, one GPU each), where it reaches roughly 26 us at 2 KiB
# and 29 us at 64 KiB instead of the ~45 us shown here.
#
# The honest headline is therefore the -t 8 -g 1 comparison: mainarch ~20 us vs
# RCCL ~26 us at small sizes, from a single host thread. Above ~8 MiB RCCL
# leads by roughly 1.3x. The table below is retained as the single-threaded
# reference point only.
#
# bench/compare-allreduce.sh now defaults to RCCL_ARGS="-t 8 -g 1"; pass
# RCCL_ARGS="-g 8" to reproduce this table.
#
       size(B)       mainarch_us         rccl_us  mainarch_busbw  rccl_busbw
       -------       -----------         -------  --------------  ----------
          1024             30.30           45.17            0.06        0.04
          2048             20.42           45.44            0.18        0.08
          4096             20.48           44.65            0.35        0.16
          8192             20.71           44.57            0.69        0.32
         16384             21.01           38.40            1.36        0.75
         32768             21.07           45.01            2.72        1.27
         65536             21.72           50.33            5.28        2.28
        131072             24.78           48.71            9.26        4.71
        262144             31.28           54.07           14.66        8.48
        524288             31.92           48.78           28.74       18.81
       1048576             33.24           60.65           55.21       30.25
       2097152             38.74           49.66           94.73       73.90
       4194304             61.11           56.83          120.12      129.16
       8388608            114.24           77.49          128.50      189.44
      16777216            169.31           117.3          173.41      250.41
      33554432            247.37           183.9          237.38      319.34
      67108864            422.14           323.6          278.20      362.97
